source_doc,source_section,source_paragraph_index,matched_text,reference_type,target_reference,resolution_status,target_url,url_display_text,url_type
Acceptable_Use_Policy_POL-AU-2026-006.docx,Scope,7,refer to Section 4.3,internal,4.3,,,,
Acceptable_Use_Policy_POL-AU-2026-006.docx,General Use Requirements,15,See Section 4.1,internal,4.1,,,,
Acceptable_Use_Policy_POL-AU-2026-006.docx,General Use Requirements,16,Refer to Section 2.2,internal,2.2,,,,
Acceptable_Use_Policy_POL-AU-2026-006.docx,Internet Use,23,refer to Section 3.2,internal,3.2,,,,
Acceptable_Use_Policy_POL-AU-2026-006.docx,6. Enforcement and Disciplinary Actions,36,Refer to Section 7,internal,7,,,,
Access_Control_Policy_POL-AC-2026-001.docx,Purpose,7,refer to Section 4,internal,4,,,,
Access_Control_Policy_POL-AC-2026-001.docx,Intent,10,See Section 5.2,internal,5.2,,,,
Access_Control_Policy_POL-AC-2026-001.docx,4. Enforcement,22,Refer to Section 6,internal,6,,,,
Access_Control_Policy_POL-AC-2026-001.docx,4. Enforcement,22,as described in the Vendor Management Policy,external,Vendor Management Policy,,,,
Configuration_Management_Policy_POL-CM-2026-004.docx,(No heading found),7,Refer to Section 4,internal,4,,,,
Continuous_Monitoring_Policy_POL-MON-2026-005.docx,Purpose,5,,,,,https://www.google.com,CISA Continuous Diagnostics and Mitigation program,external
Continuous_Monitoring_Policy_POL-MON-2026-005.docx,Enforcement,30,refer to the Incident Response Policy,external,Incident Response Policy,,,,
Continuous_Monitoring_Policy_POL-MON-2026-005.docx,Enforcement,31,CISA CDM Program resources,external,CISA CDM Program,,,,
Continuous_Monitoring_Policy_POL-MON-2026-005.docx,Enforcement,31,,,,,https://www.linkedin.com,CISA CDM Program resources,external
Continuous_Monitoring_Policy_POL-MON-2026-005.docx,References,37,,,,,https://www.google.com,Information Security Continuous Monitoring,external
Continuous_Monitoring_Policy_POL-MON-2026-005.docx,References,38,,,,,https://www.linkedin.com,Continuous Diagnostics and Mitigation,external
Continuous_Monitoring_Policy_POL-MON-2026-005.docx,Appendix D - Metrics and Reporting Templates,54,,,,,https://www.google.com,Monitoring Records Library (internal),external
Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx,Purpose,5,,,,,https://www.google.com,NIST SP 800-60 data categorization guidance,external
Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx,Scope,8,,,,,https://www.linkedin.com,NIST CUI Registry,external
Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx,Enforcement,16,refer to the Incident Response Policy,external,Incident Response Policy,,,,
Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx,References,22,,,,,https://www.google.com,NIST Control Catalog,external
Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx,References,23,National Archives CUI Program,external,National Archives CUI Program,,,,
Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx,References,23,,,,,https://www.linkedin.com,National Archives CUI Program,external
Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx,Appendix D - DLP Exception Request Process,34,,,,,https://www.google.com,DLP Exception Request (internal portal),external
Encryption_Policy_POL-ENC-2026-008.docx,Purpose,5,NIST Cryptographic Standards and Guidelines portal,external,NIST Cryptographic Standards and Guide,,,,
Encryption_Policy_POL-ENC-2026-008.docx,Purpose,5,,,,,https://www.google.com,NIST Cryptographic Standards and Guidelines portal,external
Encryption_Policy_POL-ENC-2026-008.docx,Scope,8,NIST Cryptographic Module Validation Program,external,NIST Cryptographic Module Validation Program,,,,
Encryption_Policy_POL-ENC-2026-008.docx,Scope,8,,,,,https://www.linkedin.com,NIST Cryptographic Module Validation Program,external
Encryption_Policy_POL-ENC-2026-008.docx,Enforcement,32,,,,,https://www.google.com,NIST CMVP search tool,external
Encryption_Policy_POL-ENC-2026-008.docx,References,37,,,,,https://www.google.com,Guide to Storage Encryption for End User Devices,external
Encryption_Policy_POL-ENC-2026-008.docx,References,38,,,,,https://www.linkedin.com,Guidelines for TLS Implementations,external
Encryption_Policy_POL-ENC-2026-008.docx,References,39,,,,,https://www.google.com,Security Requirements for Cryptographic Modules,external
Encryption_Policy_POL-ENC-2026-008.docx,Appendix D - Certificate Management Procedures,60,PKI Operations Guide (SharePoint - internal),external,PKI Operations Guide,,,,
